Site,Diversity,Observed,Estimator,s.e.,LCL,UCL,watershed_id,area,frac_forest,frac_urban,frac_agri,mean_temp,mean_ppt,mean_dem,rate,n_branch,p_branch,n_dam,mu_alpha
436,Species richness,42,45.889,3.88,42.763,61.828,436,1384.768265730328,0.8288474103493804,0.004190057692436571,0.08575482153886262,3.2967580489032877,647.9758502206195,447.46060061646546,0.45185965000224354,454,0.3635565117008355,0,12.238095238095237
1054,Species richness,35,40.867,5.473,36.244,62.667,1054,768.3909383743368,0.846597044155853,0.0023033908471463593,0.07409521922025508,4.175717845774451,690.6277539205685,416.28733410124096,0.4356572000159606,251,0.35316057552147256,2,12.833333333333334
1069,Species richness,43,46.208,3.25,43.618,59.654,1069,938.4309814030987,0.9113424779280512,0.002120153983888481,0.011172515552244319,4.091135383379177,707.9460659135591,395.48403657300685,0.45359121705529093,322,0.36465760269473824,3,17.833333333333332
1129,Species richness,50,50.489,1.014,50.039,56.142,1129,3202.098557280186,0.7572863269989957,0.002778729105433877,0.13134749687443764,3.787392126086249,674.4203798667862,444.0359795875874,0.40474503666278,1024,0.33285311282728974,4,13.23913043478261
1171,Species richness,29,36.583,7.721,30.452,68.605,1171,1128.9730668712068,0.8871116730612406,0.0013791147346882626,0.08678483819979073,4.163627640462238,752.0447976533218,322.2522693964739,0.38885863754083694,366,0.32216991703094267,0,10.071428571428571
1239,Species richness,39,52.722,10.151,42.759,89.093,1239,2478.7898671688167,0.933681281961223,7.301538643253861e-4,0.050885704188045076,4.20367995046797,825.5088268754195,365.72464373808964,0.44405080778701767,841,0.35856716978322534,1,7
1329,Species richness,43,50.972,8.092,44.532,84.483,1329,2276.869111039231,0.47229031858308385,0.005291480077072876,0.38750823323682965,4.313742295570846,672.5680695807569,427.94066127377306,0.43295120640598483,807,0.3514078618256287,0,12.452380952380953
1353,Species richness,33,38.615,5.613,34.098,61.699,1353,505.1158955264558,0.9683405180215636,7.918974705496627e-5,0.0298618808929542,4.43109861470431,769.1598675531238,353.17124619576754,0.40250595573541215,164,0.3313576433426608,0,13.416666666666666
1535,Species richness,56,62.618,5.778,57.514,84.934,1535,2733.3322613943396,0.8512727644847675,0.0017195241672266558,0.10753210758446458,4.232017289102733,752.0613595614258,356.3670647523226,0.46325181665007414,960,0.37076583908240673,0,13.529411764705882
1546,Species richness,25,27.865,3.388,25.458,42.92,1546,1451.6802520423214,0.972327187145035,2.999383356214447e-4,0.009474913481443881,4.124877042518148,789.9647578096375,462.88356685556624,0.43154950427553807,460,0.3504980913791295,0,8.333333333333334
1553,Species richness,52,58.034,5.015,53.458,76.974,1553,4431.725744503942,0.9164331634236536,0.001566233600810188,0.04152609057013415,4.438907903297326,748.1731525552365,359.37016952231727,0.42476758213361465,1420,0.3460782494325283,4,13.068965517241379
1607,Species richness,43,47.388,7.022,43.482,82.95,1607,2158.884286045311,0.46541097274690785,0.011419358326732609,0.3756502016255884,5.06369152110317,672.3645587023659,413.05175988018755,0.4660294801368356,780,0.37251121468058446,2,12.875
1649,Species richness,60,60.99,1.447,60.122,68.047,1649,2575.597524352302,0.732461429910321,0.0027113185120005118,0.17723750631350219,4.608504299766106,745.7403656420277,339.97378990656057,0.4438706264362325,875,0.3584515851366527,1,14.826923076923077
1656,Species richness,23,28.568,5.571,24.088,51.487,1656,342.5775347137823,0.22281880146046665,0.009263147988950532,0.6099266416238892,5.450716688192251,703.326716838968,352.46982537251154,0.3722494217667032,116,0.31081767598783155,0,8.545454545454545
1743,Species richness,39,51.171,16.698,40.62,130.43,1743,4207.657783388214,0.9145338950703324,0.005245406678783931,0.013011348111044096,4.171869687854202,800.2709069484193,493.73236060032616,0.4479864577913597,1416,0.36108666372896625,3,9.552631578947368
1812,Species richness,45,52.855,6.9,46.784,79.584,1812,3174.375561966543,0.9357998307783356,0.0030114029623968387,0.037250969904053556,4.326400192376554,825.9798463790613,456.62505726047027,0.431821123280509,1040,0.35067448448433153,3,9.727272727272727
1914,Species richness,32,35.2,3.075,32.656,47.618,1914,228.9320523269993,0.9903446987324626,4.368108309109545e-5,0.009268294852307879,4.57589260279956,816.5197015132593,453.79408020475285,0.474797348113457,76,0.3779889045844902,0,11.3
1944,Species richness,37,46.333,7.849,39.226,76.132,1944,2212.857570588448,0.8443481467654037,0.0018645292509826216,0.14103392804200585,4.6160662814153826,815.3194548180428,428.0787070980085,0.4115220247632524,769,0.3373590736757622,0,9.666666666666666
1957,Species richness,31,33.807,2.88,31.533,45.795,1957,727.8079529685681,0.17338621655000017,0.010163202285017056,0.7083067551235851,6.022224219479434,667.8272760719545,390.25793977398627,0.44387954467771046,249,0.35845730659482367,0,9.833333333333334
1966,Species richness,47,50.905,5.175,47.543,75.097,1966,1429.0314766229565,0.4458756910698773,0.018912234123370217,0.3523780441041402,5.820313917061674,732.7369309418726,318.0702124266322,0.4380813934189848,497,0.35472674027698353,0,14.19047619047619
1990,Species richness,47,48.11,1.749,47.124,56.914,1990,2309.7510129087086,0.20693133956464954,0.02051464390461388,0.6456665818829609,5.944932060613963,685.3622379948654,379.20150885990284,0.48389361189189106,813,0.3836212262041839,2,12.08108108108108
2006,Species richness,39,44.88,5.855,40.156,68.914,2006,2479.6024620112976,0.8961632442045439,0.0014921760154359722,0.08172341160288665,4.937065869316372,829.8307512265998,392.63169879513515,0.42180960066833095,821,0.3441410973971465,1,9.84
2013,Species richness,51,70.744,19.695,54.873,151.657,2013,1165.7894164025001,0.5441638550420653,0.01354006023644459,0.19677914512470807,6.186654915404626,759.2827456928164,278.6103179791476,0.44424661168259366,390,0.3586927525349349,0,12.125
2025,Species richness,37,47.8,8.314,39.836,78.124,2025,252.38618737393205,0.9108237588200188,7.130142135204581e-4,0.07823197322609518,4.803168243808175,817.4147098954807,432.8003589439872,0.40479065181902785,72,0.33288354414271853,0,13.2
2048,Species richness,42,45.46,3.466,42.675,59.726,2048,2946.4302240573315,0.8416826439254069,0.004170684739403759,0.10604496145750358,5.183349585216918,785.2471045544145,335.13486928544063,0.4307723309091049,939,0.3499931195944078,3,5.488636363636363
2116,Species richness,46,48.217,3.351,46.262,64.792,2116,3297.592361568265,0.5940340887934437,0.013729731970539573,0.23226819964594636,5.529819255798073,742.4404327265546,318.6466343952457,0.443188983482694,1132,0.35801412910283403,2,12.25
2119,Species richness,49,60.91,12.802,51.138,115.351,2119,2047.2440282936293,0.11235303633962346,0.004799720576718484,0.7390297701477094,5.52086545930457,587.1093656082969,358.06431816884117,0.47356473635623125,723,0.37722173368035034,1,11.88888888888889
2243,Species richness,40,46.125,7.409,40.953,79.382,2243,2497.543998690796,0.769235728551085,0.006325354431547829,0.1767400760125008,5.473572312076433,789.3539072914564,300.9598792442835,0.45647449102272697,866,0.3664868305395457,1,8.14
2244,Species richness,20,25.682,6.903,20.879,56.727,2244,276.1302612296192,0.3607821543660171,0.08718887850599853,0.30148304411077625,6.686811169299768,753.8472249448586,288.8637768876052,0.4245825967612876,83,0.3459572722848705,0,6.909090909090909
2254,Species richness,53,53.659,1.293,53.056,60.734,2254,4641.490856466093,0.14614307207002056,0.0042166796192818585,0.741419228597897,5.843108532005383,562.501922134331,363.93302673211235,0.45447767381030096,1573,0.3652205567005188,1,11.761904761904763
2255,Species richness,41,46.921,4.932,42.427,65.566,2255,1190.5439553960427,0.6514320057631463,0.020494125186088608,0.28937086774017856,4.790513560425273,820.6897199479367,456.94638481911824,0.4465061610507419,418,0.360140182035698,0,11.157894736842104
