,Common_name,Latin_name,Nonindigenous,Introduced_from_oversea,Comments
1,ALEWIFE,Alosa pseudoharengus,n,n,
2,AMERICAN_BROOK_LAMPREY,Lethenteron appendix,n,n,
3,BANDED_DARTER,Etheostoma zonale,n,n,
4,BANDED_KILLIFISH,Fundulus diaphanus,n,n,
5,BANDED_PYGMY_SUNFISH,Elassoma zonatum,n,n,
6,BANDED_SCULPIN,Cottus carolinae,n,n,
7,BANTAM_SUNFISH,Lepomis symmetricus,n,n,
8,BIGEYE_CHUB,Hybopsis amblops,n,n,
9,BIGEYE_SHINER,Notropis boops,n,n,
10,BIGHEAD_CARP,Hypophthalmichthys nobilis,y,y,
11,BIGMOUTH_BUFFALO,Ictiobus cyprinellus,n,n,
12,BIGMOUTH_SHINER,Notropis dorsalis,n,n,
13,BLACK_BUFFALO,Ictiobus niger,n,n,
14,BLACK_BULLHEAD,Ameiurus melas,n,n,
15,BLACK_CRAPPIE,Pomoxis nigromaculatus,n,n,
16,BLACK_REDHORSE,Moxostoma duquesni,n,n,
17,BLACKCHIN_SHINER,Notropis heterodon,n,n,
18,BLACKNOSE_DACE,Rhinichthys atratulus,n,n,
19,BLACKNOSE_SHINER,Notropis heterolepis,n,n,
20,BLACKSIDE_DARTER,Percina maculata,n,n,
21,BLACKSPOTTED_TOPMINNOW,Fundulus olivaceus,n,n,
22,BLACKSTRIPE_TOPMINNOW,Fundulus notatus,n,n,
23,BLACKTAIL_SHINER,Cyprinella venusta,n,n,
24,BLUE_CATFISH,Ictalurus furcatus,n,n,
25,BLUE_SUCKER,Cycleptus elongatus,n,n,
26,BLUEBREAST_DARTER,Etheostoma camurum,n,n,
27,BLUEGILL,Lepomis macrochirus,n,n,
28,BLUNTNOSE_DARTER,Etheostoma chlorosomum,n,n,
29,BLUNTNOSE_MINNOW,"	Pimephales notatus",n,n,
30,BOWFIN,Amia calva,n,n,
31,BRASSY_MINNOW,Hybognathus hankinsoni,n,n,
32,BRINDLED_MADTOM,Noturus miurus,y,n,
33,BROOK_SILVERSIDE,Labidesthes sicculus,n,n,
34,BROOK_STICKLEBACK,Culaea inconstans,n,n,
35,BROOK_TROUT,Salvelinus fontinalis,n,n,
36,BROWN_BULLHEAD,Ameiurus nebulosus,n,n,
37,BROWN_TROUT,Salmo trutta,y,y,
38,BULLHEAD_MINNOW,"Pimephales vigilax	",n,n,
39,BURBOT,Lota lota,n,n,
40,CARMINE_SHINER,Notropis percobromus,n,n,
41,CENTRAL_MUDMINNOW,Umbra limi,n,n,
42,CENTRAL_STONEROLLER,Campostoma anomalum,n,n,
43,CHANNEL_CATFISH,Ictalurus punctatus,n,n,
44,CHANNEL_SHINER,Notropis wickliffi,n,n,
45,CHESTNUT_LAMPREY,Ichthyomyzon castaneus,n,n,
46,CHINOOK_SALMON,Oncorhynchus tshawytscha,y,n,
47,COHO_SALMON,Oncorhynchus kisutch,y,n,
48,COMMON_CARP,Cyprinus carpio,y,y,
49,COMMON_SHINER,Luxilus cornutus,n,n,
50,CREEK_CHUB,Semotilus atromaculatus,n,n,
51,CREEK_CHUBSUCKER,Erimyzon oblongus,n,n,
52,CRYSTAL_DARTER,Crystallaria asprella,n,n,
53,CYPRESS_DARTER,Etheostoma proeliare,n,n,
54,DUSKY_DARTER,Percina sciera,n,n,
55,EASTERN_SAND_DARTER,Ammocrypta pellucida,n,n,
56,EMERALD_SHINER,Notropis atherinoides,n,n,
57,FANTAIL_DARTER,Etheostoma flabellare,n,n,
58,FATHEAD_MINNOW,Pimephales promelas,n,n,
59,FINESCALE_DACE,Chrosomus neogaeus,n,n,
60,FLATHEAD_CATFISH,Pylodictis olivaris,n,n,
61,FLATHEAD_CHUB,Platygobio gracilis,n,n,
62,FLIER,Centrarchus macropterus,n,n,
63,FRECKLED_MADTOM,Noturus nocturnus,n,n,
64,FRESHWATER_DRUM,Aplodinotus grunniens,n,n,
65,FRINGED_DARTER,Etheostoma crossopterum,n,n,
66,GHOST_SHINER,Notropis buchanani,n,n,
67,GILT_DARTER,Percina evides,n,n,
68,GIZZARD_SHAD,Dorosoma cepedianum,n,n,
69,GOLDEN_REDHORSE,Moxostoma erythrurum,n,n,
70,GOLDEN_SHINER,Notemigonus crysoleucas,n,n,
