SiteID,VisitID,Year,OTU,Abundance,Sample_area,Source,Lon,Lat,n_obs,Presence
st00001,st00001-1996,1996,RHINOGOBIUS_SPP,10,NA,hfish_HSGK,139.45,42.088,1,1
st00002,st00002-1996,1996,LETHENTERON_SPP,3,NA,hfish_HSGK,139.45,42.089,1,1
st00002,st00002-1996,1996,RHINOGOBIUS_SPP,29,NA,hfish_HSGK,139.45,42.089,1,1
st00003,st00003-1996,1996,COTTUS_HANGIONGENSIS,1,NA,hfish_HSGK,139.451,42.084,1,1
st00003,st00003-1996,1996,GYMNOGOBIUS_UROTAENIA,47,NA,hfish_HSGK,139.451,42.084,1,1
st00003,st00003-1996,1996,MISGURNUS_ANGUILLICAUDATUS,27,NA,hfish_HSGK,139.451,42.084,1,1
st00003,st00003-1996,1996,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,27,NA,hfish_HSGK,139.451,42.084,1,1
st00003,st00003-1996,1996,RHINOGOBIUS_SPP,3,NA,hfish_HSGK,139.451,42.084,1,1
st00004,st00004-1996,1996,COTTUS_HANGIONGENSIS,2,NA,hfish_HSGK,139.451,42.087,1,1
st00004,st00004-1996,1996,GYMNOGOBIUS_UROTAENIA,63,NA,hfish_HSGK,139.451,42.087,1,1
st00004,st00004-1996,1996,LETHENTERON_SPP,1,NA,hfish_HSGK,139.451,42.087,1,1
st00004,st00004-1996,1996,MISGURNUS_ANGUILLICAUDATUS,24,NA,hfish_HSGK,139.451,42.087,1,1
st00004,st00004-1996,1996,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,7,NA,hfish_HSGK,139.451,42.087,1,1
st00004,st00004-1996,1996,RHINOGOBIUS_SPP,3,NA,hfish_HSGK,139.451,42.087,1,1
st00005,st00005-1996,1996,COTTUS_HANGIONGENSIS,5,NA,hfish_HSGK,139.452,42.082,1,1
st00005,st00005-1996,1996,GYMNOGOBIUS_UROTAENIA,74,NA,hfish_HSGK,139.452,42.082,1,1
st00005,st00005-1996,1996,LETHENTERON_SPP,1,NA,hfish_HSGK,139.452,42.082,1,1
st00005,st00005-1996,1996,MISGURNUS_ANGUILLICAUDATUS,13,NA,hfish_HSGK,139.452,42.082,1,1
st00005,st00005-1996,1996,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,64,NA,hfish_HSGK,139.452,42.082,1,1
st00006,st00006-1997,1997,COTTUS_HANGIONGENSIS,123,NA,hfish_HSGK,139.455,42.071,1,1
st00006,st00006-1997,1997,GYMNOGOBIUS_UROTAENIA,256,NA,hfish_HSGK,139.455,42.071,1,1
st00006,st00006-1997,1997,LETHENTERON_SPP,5,NA,hfish_HSGK,139.455,42.071,1,1
st00006,st00006-1997,1997,MISGURNUS_ANGUILLICAUDATUS,16,NA,hfish_HSGK,139.455,42.071,1,1
st00006,st00006-1997,1997,ONCORHYNCHUS_KETA,2,NA,hfish_HSGK,139.455,42.071,1,1
st00006,st00006-1997,1997,ONCORHYNCHUS_MASOU_MASOU,4,NA,hfish_HSGK,139.455,42.071,1,1
st00006,st00006-1997,1997,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,42,NA,hfish_HSGK,139.455,42.071,1,1
st00007,st00007-1999,1999,COTTUS_HANGIONGENSIS,1,NA,hfish_HSGK,139.462,42.09,2,1
st00007,st00007-1999,1999,RHINOGOBIUS_SPP,36,NA,hfish_HSGK,139.462,42.09,2,1
