"","n_rep","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","sd_env","phi","sd_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"1",1,127,0.351413269713521,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.740094488189,13.259905511811,29
"2",2,132,0.723165751621127,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,16.6044393939394,10.6835606060606,27.288
"3",3,57,0.120064178667963,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.2399824561404,11.7600175438596,24
"4",4,117,0.718115677125752,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.0360683760684,13.9639316239316,29
"5",5,126,0.50236601550132,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.3188968253968,14.6811031746032,29
"6",6,71,0.376133134588599,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.3332253521127,12.6667746478873,27
"7",7,105,0.287450499646366,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.5450285714286,14.4549714285714,29
"8",8,142,0.15224931742996,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.5804014084507,15.8695985915493,28.45
"9",9,51,0.785524282604456,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.8856470588235,10.1143529411765,23
"10",10,106,0.588344311155379,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.9813490566038,15.0186509433962,29
"11",11,142,0.754717392288148,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.728161971831,12.356838028169,26.085
"12",12,112,0.877142036147416,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,16.3550535714286,13.4299464285714,29.785
"13",13,94,0.808889545314014,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.8959361702128,9.27906382978724,25.175
"14",14,96,0.780894987285137,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.8359791666667,11.1640208333333,27
"15",15,145,0.102999647706747,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.3698344827586,12.6301655172414,28
"16",16,143,0.103656342998147,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.3516923076923,13.6483076923077,26
"17",17,51,0.201916540972888,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.0090392156863,13.9909607843137,28
"18",18,121,0.591754449158907,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.199173553719,12.269826446281,25.469
"19",19,105,0.558417374268174,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.4958095238095,10.6761904761905,23.172
"20",20,60,0.4215172464028,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.79615,13.20385,26
"21",21,149,0.58022172357887,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.8993422818792,12.1006577181208,26
"22",22,69,0.795894514024258,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,16.8844057971015,11.8945942028985,28.779
"23",23,83,0.360615431703627,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.3607831325301,11.6392168674699,26
"24",24,83,0.222508582659066,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.8564819277108,14.9025180722892,27.759
"25",25,63,0.580910777673125,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.9189206349206,10.2610793650794,25.18
"26",26,116,0.163675972819328,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.5869827586207,14.4130172413793,28
"27",27,121,0.10032201372087,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.6021239669421,13.3978760330579,26
"28",28,96,0.483682642690837,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.9595208333333,12.0404791666667,28
"29",29,137,0.234874004498124,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.2856788321168,15.7143211678832,29
"30",30,50,0.146656438335776,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.73992,14.26008,27
"31",31,97,0.688710700720549,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.8747010309278,10.1252989690722,23
"32",32,139,0.126238739863038,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,10.3273669064748,16.6726330935252,27
"33",33,59,0.779506403021514,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.8618474576271,12.1381525423729,28
