"","n_rep","mc_capacity","n_species","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","K_type","K0","sd_env","spatial_env_cor","phi","min_niche_width","max_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"1",1,47287.6458962405,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.80196,10.19804,19
"2",2,46318.8521500546,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.88304,16.11696,27
"3",3,47300.3798896995,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.54138,7.81062,15.352
"4",4,40182.4828549621,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.42286,8.16714,18.59
"5",5,39634.1573821211,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.19168,7.80832,18
"6",6,48049.3724992544,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.61364,10.38636,20
"7",7,44278.3503445411,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.47406,9.40994,19.884
"8",8,42439.4067610953,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.16194,13.83806,24
"9",9,52883.0619934219,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.19754,12.80246,24
"10",10,57488.0082518731,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.19248,1.80752,11
"11",11,48450.7948023672,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.33788,15.28412,23.622
"12",12,39458.4652337384,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.17608,8.82392,16
"13",13,36526.8748435078,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.96692,4.84508,13.812
"14",14,44368.3977050975,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.3253,5.0097,13.335
"15",15,53364.0884853379,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.15608,4.08492,13.241
"16",16,59103.482441553,30,50,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.61336,5.38664,14
