"","n_rep","mc_capacity","n_species","n_patch","p_branch","mean_env_source","sd_env_source","rho","min_optim","max_optim","sd_env_lon","theta","K_type","K0","sd_env","spatial_env_cor","phi","min_niche_width","max_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"1",1,3677.70828926243,30,10,0.1,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,3.0408,0.1552,3.196
"2",1,2888.098068954,30,10,0.2,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,4.7982,1.2018,6
"3",1,2947.43457958074,30,10,0.3,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.798,1.994,9.792
"4",1,2817.94850141382,30,10,0.4,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,6.7532,7.0148,13.768
"5",1,2947.43457958074,30,10,0.5,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.1302,8.8698,18
"6",1,2286.60414144057,30,10,0.6,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.6226,10.7374,20.36
"7",1,2715.95821317616,30,10,0.7,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.901,4.099,12
"8",1,2901.62735783971,30,10,0.8,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.8868,6.1132,16
"9",1,2420.70082228532,30,10,0.9,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.4914,5.5086,14
"10",1,3677.70828926243,30,10,0.1,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.9381,0.0618999999999996,8
"11",1,3677.70828926243,30,10,0.2,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.3228,0.677199999999999,11
"12",1,3482.85444580421,30,10,0.3,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.8361,3.1639,12
"13",1,2531.87580931764,30,10,0.4,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.8129,9.6961,19.509
"14",1,2866.46535961821,30,10,0.5,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.8819,8.3951,16.277
"15",1,3222.68761925456,30,10,0.6,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.3678,0.8912,9.259
"16",1,2273.12770757968,30,10,0.7,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.4155,8.2845,17.7
"17",1,2674.52232683871,30,10,0.8,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.0742,5.9728,16.047
"18",1,2367.07477153649,30,10,0.9,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.9539,5.1521,16.106
"19",1,2761.89165099737,30,10,0.1,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,8.5621,1.9639,10.526
"20",1,3677.70828926243,30,10,0.2,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,7.0567,0.0802999999999994,7.137
"21",1,3426.79759538776,30,10,0.3,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,8.4244,2.6106,11.035
"22",1,2973.34044512726,30,10,0.4,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,11.2448,5.0692,16.314
"23",1,3027.83377579634,30,10,0.5,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,9.7217,3.5603,13.282
"24",1,2460.16272203009,30,10,0.6,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,9.3276,4.9934,14.321
"25",1,2782.56210791927,30,10,0.7,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,10.493,3.568,14.061
"26",1,2836.1881586681,30,10,0.8,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,9.5664,2.6756,12.242
"27",1,2479.96589903174,30,10,0.9,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,11.9793,5.0207,17
"28",1,3677.70828926243,30,10,0.1,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,5.0389,0.0290999999999997,5.068
"29",1,3677.70828926243,30,10,0.2,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,8.4771,0.0968999999999998,8.574
"30",1,3677.70828926243,30,10,0.3,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,5.9769,0.0231000000000003,6
"31",1,3426.79759538776,30,10,0.4,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,8.5591,2.4409,11
"32",1,2836.1881586681,30,10,0.5,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,12.464,3.766,16.23
"33",1,2679.68819129753,30,10,0.6,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,8.9285,0.0715000000000003,9
"34",1,2382.73100840759,30,10,0.7,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,10.2543,3.7457,14
"35",1,2350.47982086482,30,10,0.8,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,7.8928,4.1072,12
"36",1,2367.07477153649,30,10,0.9,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,0.5,10.162,3.838,14
"37",1,3605.99520197488,30,10,0.1,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,3.4946,2.5054,6
"38",1,3677.70828926243,30,10,0.2,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,2.9843,0.0156999999999998,3
"39",1,2408.73505314697,30,10,0.3,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,3.5843,3.7387,7.323
"40",1,2557.78167486417,30,10,0.4,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,2.8593,1.1407,4
"41",1,2367.07477153649,30,10,0.5,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,4.8996,5.4354,10.335
"42",1,2693.24422549578,30,10,0.6,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,2.8973,4.2967,7.194
"43",1,2227.33906469415,30,10,0.7,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,4.0347,5.5603,9.595
"44",1,3058.38517134002,30,10,0.8,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,5.3967,3.9533,9.35
"45",1,2541.13194199262,30,10,0.9,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,3.607,3.707,7.314
"46",1,3677.70828926243,30,10,0.1,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,3.1554,0.2696,3.425
"47",1,3677.70828926243,30,10,0.2,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,4.9847,0.0152999999999999,5
"48",1,3222.68761925456,30,10,0.3,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,4.5046,3.4414,7.946
"49",1,2866.46535961821,30,10,0.4,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,0.8558,2.1442,3
"50",1,2408.73505314697,30,10,0.5,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,2.5876,4.4124,7
"51",1,2163.4633852699,30,10,0.6,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,3.4777,6.1283,9.606
"52",1,2221.70003869656,30,10,0.7,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,3.4237,4.5763,8
"53",1,2291.2147441184,30,10,0.8,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,2.8883,4.5707,7.459
"54",1,2479.96589903174,30,10,0.9,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,1.5,2.3765,1.6325,4.009
"55",1,3193.97393805182,30,10,0.1,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,2.9998,0.000199999999999978,3
"56",1,2610.64664741446,30,10,0.2,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,5.0081,1.6229,6.631
"57",1,3677.70828926243,30,10,0.3,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,2,0,2
"58",1,3677.70828926243,30,10,0.4,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,3,0,3
"59",1,2971.7769253799,30,10,0.5,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,4.1394,1.1736,5.313
"60",1,3150.97453196701,30,10,0.6,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,5.6927,1.3073,7
"61",1,3237.58277792714,30,10,0.7,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,3.5357,1.4643,5
"62",1,2836.1881586681,30,10,0.8,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,3.4839,1.5161,5
"63",1,2329.18455799612,30,10,0.9,0,1,1,-1,1,0.01,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,4.1833,3.8167,8
"64",1,3677.70828926243,30,10,0.1,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,1,0,1
"65",1,3542.11952255063,30,10,0.2,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,2.457,0.543,3
"66",1,3303.6568392171,30,10,0.3,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,6.1694,1.8306,8
"67",1,2486.06858757662,30,10,0.4,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,3.6865,1.3135,5
"68",1,3193.97393805182,30,10,0.5,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,3.7291,0.7259,4.455
"69",1,2344.84079486723,30,10,0.6,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,5.5217,2.4783,8
"70",1,2311.01792112004,30,10,0.7,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,6.0291,0.9709,7
"71",1,2201.67246642187,30,10,0.8,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,6.8026,5.0014,11.804
"72",1,2651.5839438853,30,10,0.9,0,1,1,-1,1,0.01,1,"equal",100,0.1,TRUE,0.05,0.1,1,1,0.05,0,1.5,7.4699,3.5301,11
